Renda_Anual,Anos_no_Emprego,Grau_Emprestimo,Valor,Taxa_Juros,Comprometimento_Renda,Inadimplencia_Historica,Tipo_Moradia_Hipoteca,Tipo_Moradia_Outro,Tipo_Moradia_Próprio,Motivo_Emprestimo_Educação,Motivo_Emprestimo_Empreendimento,Motivo_Emprestimo_Médico,Motivo_Emprestimo_Pessoal,Motivo_Emprestimo_Reformas Domésticas
-1.9034776171408363,0.19696164788718587,1,-1.5513424397561058,0.07432456432095585,-0.6634156026576592,0,0,0,1,1,0,0,0,0
-1.891411739288288,-0.6993045777267609,0,-1.227122639380687,-1.1844218341122001,1.0774135535184568,0,0,0,1,0,1,0,0,0
-1.8873897800041055,0.4957170564251681,3,-1.4216545196059382,1.2071963229107958,0.03291605981278722,0,0,0,1,0,1,0,0,0
-1.8552141057306435,1.0932278735011327,1,-1.3892325395683964,0.0271215743797124,0.03291605981278722,0,1,0,0,1,0,0,0,0
-1.8479745790191147,-1.2968153948027255,0,-1.4432691729642995,-1.1372188441709568,-0.19919449434402814,0,0,0,1,0,0,0,1,0
-1.847170187162278,-1.2968153948027255,0,-1.4648838263226607,-0.4984050469661301,-0.315249771422436,0,0,0,1,0,0,0,1,0
-1.8315247655468072,0.19696164788718587,2,-0.9029028390052685,0.6092917836550468,2.237966324302534,1,0,1,0,1,0,0,0,0
-1.8262559988845277,0.19696164788718587,1,-1.3351959061724934,0.06803083232878965,0.14897133689119504,0,0,0,1,0,0,1,0,0
-1.8069505943204507,0.19696164788718587,0,-1.227122639380687,-1.0679877922571333,0.6131924452048257,0,0,0,1,1,0,0,0,0
-1.8069505943204507,-0.10179376065079639,1,-1.227122639380687,0.5620887937138034,0.6131924452048257,0,0,0,1,0,1,0,0,0
-1.8069505943204507,0.7944724649631504,3,-1.4432691729642995,1.2386649828716247,-0.315249771422436,1,1,0,0,1,0,0,0,0
-1.8069505943204507,0.4957170564251681,2,-1.1190493725888808,0.8516004653534291,1.0774135535184568,1,0,0,1,1,0,0,0,0
-1.8069505943204507,-1.2968153948027255,2,-0.8596735322885459,0.810691207404352,2.237966324302534,1,0,0,1,0,0,0,1,0
-1.8069505943204507,0.19696164788718587,4,-1.0650127391929778,1.5030017265425875,1.3095241076752724,1,1,0,0,0,0,0,0,0
-1.7924715408973928,-0.6993045777267609,2,-1.4216545196059382,0.8390130013690978,-0.315249771422436,0,0,0,1,0,0,1,0,0
-1.782818838615354,-0.40054916918877864,2,-1.3892325395683964,0.8516004653534291,-0.19919449434402814,0,0,0,1,0,0,0,1,0
-1.7741314065615195,-1.2968153948027255,2,-1.1190493725888808,0.6187323816432952,0.8453029993616414,1,0,0,1,0,0,0,0,0
-1.7683397851922962,-0.9980599862647431,1,-0.9785541257595328,-0.3127399531972397,1.4255793847536802,0,1,0,0,0,0,0,0,1
-1.7683397851922962,-1.2968153948027255,1,-0.7948295722134623,0.29145831805067507,2.237966324302534,0,1,0,0,0,0,0,0,0
-1.7668918798499904,-1.2968153948027255,2,-1.2487372927390483,0.8138380734004348,0.2650266139696026,1,0,0,1,0,0,0,0,0
-1.7668918798499904,-0.9980599862647431,3,-0.9893614524387134,1.1599933329695524,1.4255793847536802,0,0,0,1,0,0,1,0,0
-1.7586870829102577,-0.40054916918877864,0,-0.6975636321008366,-0.9452600184099004,2.5861321555377574,0,0,0,1,0,0,0,0,0
